Time,Hourofday,Plot,Light,C
0.1146,2.7504,Beneath,0.202,N
0.125,3,Beneath,0.202,N
0.1354,3.2496,Beneath,0.202,N
0.1458,3.4992,Beneath,0.202,N
0.1563,3.7512,Beneath,0.202,N
0.1667,4.0008,Beneath,0.202,N
0.1771,4.2504,Beneath,0.202,N
0.1875,4.5,Beneath,0.202,N
0.1979,4.7496,Beneath,0.202,N
0.2083,4.9992,Beneath,0.269,N
0.2188,5.2512,Beneath,0.876,N
0.2292,5.5008,Beneath,5.051,N
0.2396,5.7504,Beneath,16.84,N
0.25,6,Beneath,32.53,N
0.2604,6.2496,Beneath,44.79,N
0.2708,6.4992,Beneath,57.04,N
0.2813,6.7512,Beneath,63.78,N
0.2917,7.0008,Beneath,67.01,N
0.3021,7.2504,Beneath,71.58,N
0.3125,7.5,Beneath,78.11,N
0.3229,7.7496,Beneath,85.7,N
0.3333,7.9992,Beneath,469.3,N
0.3438,8.2512,Beneath,721.2,N
0.3542,8.5008,Beneath,792.3,N
0.3646,8.7504,Beneath,791.6,N
0.375,9,Beneath,1014,N
0.3854,9.2496,Beneath,1261,N
0.3958,9.4992,Beneath,1352,N
0.4063,9.7512,Beneath,1435,N
0.4167,10.0008,Beneath,910,N
0.4271,10.2504,Beneath,114.4,N
0.4375,10.5,Beneath,111.7,N
0.4479,10.7496,Beneath,109.9,N
0.4583,10.9992,Beneath,108.3,N
0.4688,11.2512,Beneath,107.5,N
0.4792,11.5008,Beneath,105.4,N
0.4896,11.7504,Beneath,105.5,N
0.5,12,Beneath,105.6,N
0.5104,12.2496,Beneath,106.7,N
0.5208,12.4992,Beneath,106,N
0.5313,12.7512,Beneath,110.3,N
0.5417,13.0008,Beneath,111.8,N
0.5521,13.2504,Beneath,113.4,N
0.5625,13.5,Beneath,115.3,N
0.5729,13.7496,Beneath,115.3,N
0.5833,13.9992,Beneath,112.3,N
0.5938,14.2512,Beneath,113.2,N
0.6042,14.5008,Beneath,120.4,N
0.6146,14.7504,Beneath,130.6,N
0.625,15,Beneath,153.4,N
0.6354,15.2496,Beneath,117.1,N
0.6458,15.4992,Beneath,138.9,N
0.6563,15.7512,Beneath,143,N
0.6667,16.0008,Beneath,164.3,N
0.6771,16.2504,Beneath,1486,N
0.6875,16.5,Beneath,1344,N
0.6979,16.7496,Beneath,1298,N
0.7083,16.9992,Beneath,1293,N
0.7188,17.2512,Beneath,1069,N
