,Season,Growing season,Month,Date,Control.mean,Control_2.mean,plot1.mean,plot2.mean,plot3.mean,plot4.mean,plot1.15.mean,plot2.15.mean,plot3.15.mean,plot4.15.mean,AirTC.mean,RH.mean,Control.std.error,Control_2.std.error,plot1.std.error,plot2.std.error,plot3.std.error,plot4.std.error,plot1.15.std.error,plot2.15.std.error,plot3.15.std.error,plot4.15.std.error,AirTC.std.error,RH.std.error,1dcon,2dcon,3dcon,4dcon,1dcon.std.error,2dcon.std.error,3dcon.std.error,4dcon.std.error,plot1frac,plot2frac,plot3frac,plot4frac,controlfrac
21,Cool,Y,June,6/2/2022,NA,NA,0.384506944,0.354711805,0.293409722,0.437809028,0.402729167,0.422010417,0.251815972,0.417954861,14.40598958,73.2965625,NA,NA,0.000392826,0.000114561,0.000208113,0.00025275,0.000408794,0.000140354,0.000287528,0.000240847,0.783340216,2.230817935,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.000408794,0.000140354,0.000287528,0.000240847,0.366284721,0.287413193,0.335003472,0.457663195,#VALUE!
22,Cool,Y,June,6/3/2022,NA,NA,0.380920139,0.350038194,0.296388889,0.433107639,0.399118056,0.417090278,0.254979167,0.413645833,16.87744792,71.77479167,NA,NA,0.000247342,0.000169412,0.000169613,0.000173788,0.000318454,0.000176361,0.000226035,0.000176315,0.682180044,2.195053165,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.000318454,0.000176361,0.000226035,0.000176315,0.362722222,0.28298611,0.337798611,0.452569445,#VALUE!
23,Cool,Y,June,6/4/2022,NA,NA,0.374625,0.3421875,0.297541667,0.425930556,0.391951389,0.407163194,0.255847222,0.408125,18.225875,64.195,NA,NA,0.000334218,0.000262588,0.000172362,0.000272654,0.000342846,0.000236115,0.000228613,0.00021066,0.885422948,2.853867259,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.000342846,0.000236115,0.000228613,0.00021066,0.357298611,0.277211806,0.339236112,0.443736112,#VALUE!
24,Cool,Y,June,6/5/2022,NA,NA,0.367493056,0.33528125,0.298993056,0.420822917,0.384899306,0.397201389,0.257614583,0.404631944,19.663125,64.05770833,NA,NA,0.000368238,0.000253596,0.000209309,0.00069767,0.000335015,0.000298733,0.000321664,0.000952547,0.729364935,2.652621826,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.000335015,0.000298733,0.000321664,0.000952547,0.350086806,0.273361111,0.340371529,0.43701389,#VALUE!
25,Cool,Y,June,6/6/2022,NA,NA,0.364642361,0.333614583,0.300934028,0.427065972,0.382774306,0.40115625,0.260666667,0.416152778,18.03416667,69.995625,NA,NA,0.000259105,0.000185246,0.000106744,0.00029657,0.000286918,0.000190154,0.000164459,0.000237346,0.665535757,2.36109488,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.000286918,0.000190154,0.000164459,0.000237346,0.346510416,0.266072916,0.341201389,0.437979166,#VALUE!
26,Cool,Y,June,6/7/2022,0.365,0.3683,0.356760417,0.327864583,0.300357639,0.41825,0.373371528,0.391597222,0.259663194,0.406673611,19.2925,63.49447917,0.000253185,0.000389279,0.000334745,0.000170324,0.000154863,0.000261434,0.000233253,0.000189124,0.000188645,0.00036129,0.628561851,1.947524046,0.005071528,0.023297222,-0.108636806,0.038373611,0.000233253,0.000189124,0.000188645,0.00036129,0.340149306,0.264131944,0.341052084,0.429826389,0.3617
27,Cool,Y,June,6/8/2022,0.351916667,0.3538125,0.346777778,0.323097222,0.300861111,0.409229167,0.361315972,0.380541667,0.259944444,0.389118056,19.23510417,55.33375,0.000458991,0.00038369,0.000422118,0.000127763,0.000142867,0.00033763,0.000375653,0.000331105,0.00015924,0.000441179,0.611336471,2.123944904,0.007503472,0.026729167,-0.093868056,0.035305556,0.000375653,0.000331105,0.00015924,0.000441179,0.332239584,0.265652777,0.341777778,0.429340278,0.350020834
28,Cool,Y,June,6/9/2022,0.337479167,0.337729167,0.335826389,0.317347222,0.300506945,0.399027778,0.347965278,0.367913194,0.25884375,0.372770833,20.13864583,60.03427083,0.000332778,0.000325617,0.00030477,0.000174237,0.000143149,0.000312221,0.000329528,0.000245785,0.000172836,0.000335712,0.913995885,2.647894272,0.010236111,0.030184028,-0.078885417,0.035041667,0.000329528,0.000245785,0.000172836,0.000335712,0.3236875,0.26678125,0.34217014,0.425284723,0.337229167
29,Cool,Y,June,6/10/2022,0.326114583,0.326260417,0.327541667,0.31140625,0.300861111,0.389399306,0.337260417,0.357840278,0.259604167,0.359652778,22.33510417,59.2946875,0.000289763,0.000290283,0.000313218,0.000182521,0.000190392,0.00033064,0.000358148,0.000245623,0.000232492,0.000357355,0.900220952,2.524467518,0.011,0.031579861,-0.06665625,0.033392361,0.000358148,0.000245623,0.000232492,0.000357355,0.317822917,0.264972222,0.342118055,0.419145834,0.325968749
30,Cool,Y,June,6/11/2022,0.317114583,0.317145833,0.320256944,0.305034722,0.302125,0.380121528,0.325486111,0.346895833,0.260961806,0.346427083,24.65104167,54.73260417,0.000316529,0.000312383,0.000418053,0.000218285,0.000218104,0.000399168,0.000403322,0.000276664,0.000260915,0.000381457,1.117508335,2.8225038,0.008340278,0.02975,-0.056184028,0.02928125,0.000403322,0.000276664,0.000260915,0.000381457,0.315027777,0.263173611,0.343288194,0.413815973,0.317083333
