SYS,SYS,SYS,SYS,SYS,USERDEF,USERDEF,USERDEF,USERDEF,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,MATCH,MATCH,MATCH,STABILITY,STABILITY,STABILITY,STABILITY,STABILITY,STABILITY,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,META,META,META,META,META,META,META
9,9:11:30,6/2/2022,JSG 2022,MS,,3,North,,0.109917,2.919801,0.105929,2.119761,1.320301,1.270161,2.980079,1.659778,14.926742,15.515976,35.021435,0.441786,PSF-00495_20220602091130,0,0,0,195.288422,250.299103,0.21978,0.5,0.8,137.695145,54.48,52.41,20.52,23.92,85.09,156.5,156.8,-0.2,1566,4.082,9:03:47,6/2/2022,0.23,-0.002,-0.001,-0.003,-2.452,-2.761,-10.509,1,150,0.005,2,0,rectangular,7000,500,5,2,55537,55537,55537,0,-9999,0,0,0,0,2.505899,2.448951,1.657555,0.935568,0.326286,0.038,0.12782,1.424284,195.288422,0.000285,2.419613,-0.000027,1,2.365493,-0.000018,1,0.60179,0.602419,0.107779,0,PSF-00495_20220602091130,PFA-00525,PSA-00537,PSF-00495,RHS-0718,2.0.0,2022-05-16T19:34:13.141Z
10,9:11:51,6/2/2022,JSG 2022,MS,,3,North,,0.148742,2.922358,0.141538,2.535337,1.201975,1.142036,2.691497,1.489522,13.419812,14.124135,31.627178,0.441786,PSF-00495_20220602091151,0,0,0,97.354889,188.642624,0.483919,0.5,0.8,306.33783,49.48,47.01,20.56,22.23,85.1,156.8,157,-0.2,1583,4.081,9:03:47,6/2/2022,0.23,-0.001,0,0.009,-3.527,1.917,-10.155,1,150,0.005,2,0,rectangular,7000,500,5,2,55537,55537,55537,0,-9999,0,0,0,0,2.498196,2.4423,1.660212,0.936131,0.325761,0.018471,0.130934,1.437988,97.354889,0.000298,2.419613,-0.000027,1,2.365493,-0.000018,1,0.60179,0.602419,0.107779,0,PSF-00495_20220602091151,PFA-00525,PSA-00537,PSF-00495,RHS-0718,2.0.0,2022-05-16T19:34:13.141Z
11,9:12:47,6/2/2022,JSG 2022,MS,,4,North,,0.193791,2.922,0.181738,2.297127,1.152349,1.097993,2.206797,1.054448,12.90201,13.540716,25.931049,0.441786,PSF-00495_20220602091247,0,0,0,107.898117,392.117493,0.724832,0.5,0.8,26.586842,47.42,45.18,20.57,19.01,85.1,156.7,156.9,-0.1,92,4.08,9:03:47,6/2/2022,0.23,0.003,0.004,-0.007,0.324,0.345,0.194,1,150,0.005,2,0,rectangular,7000,500,5,2,55537,55537,55537,0,-9999,0,0,0,0,2.495563,2.439539,1.659839,0.935734,0.325697,-0.01703,0.13878,0.184855,107.898117,0.0003,2.419613,-0.000027,1,2.365493,-0.000018,1,0.60179,0.602419,0.107779,0,PSF-00495_20220602091247,PFA-00525,PSA-00537,PSF-00495,RHS-0718,2.0.0,2022-05-16T19:34:13.141Z
12,9:13:06,6/2/2022,JSG 2022,MS,,4,North,,0.18038,2.921077,0.169889,2.648727,1.185388,1.122694,2.48357,1.298182,13.192677,13.929392,29.184219,0.441786,PSF-00495_20220602091306,0,0,0,114.222404,426.735168,0.732334,0.5,0.8,26.845814,48.83,46.25,20.55,20.92,85.1,156.6,156.8,-0.1,92,4.079,9:03:47,6/2/2022,0.23,0,-0.001,-9999,1.081,2.163,-9999,1,150,0.005,2,0,rectangular,7000,500,5,2,55537,55537,55537,0,-9999,0,0,0,0,2.497106,2.44144,1.658879,0.935572,0.325928,0.003992,0.141315,0.184809,114.222404,0.00031,2.419613,-0.000027,1,2.365493,-0.000018,1,0.60179,0.602419,0.107779,0,PSF-00495_20220602091306,PFA-00525,PSA-00537,PSF-00495,RHS-0718,2.0.0,2022-05-16T19:34:13.141Z
13,9:13:31,6/2/2022,JSG 2022,MS,,4,North,,0.341878,2.922597,0.306075,3.707609,1.248549,1.160965,2.258144,1.009595,13.642597,14.671812,26.535646,0.441786,PSF-00495_20220602091331,0,0,0,101.784828,392.59494,0.740738,0.5,0.8,23.276173,51.53,47.91,20.52,19.38,85.1,156.8,156.8,0,79,4.079,9:03:47,6/2/2022,0.23,0.001,-0.001,-9999,0.591,0.735,-9999,1,150,0.005,2,0,rectangular,7000,500,5,2,55537,55537,55537,0,-9999,0,0,0,0,2.499503,2.445044,1.66046,0.935586,0.326319,-0.012511,0.14456,0.173809,101.784828,0.000304,2.419613,-0.000027,1,2.365493,-0.000018,1,0.60179,0.602419,0.107779,0,PSF-00495_20220602091331,PFA-00525,PSA-00537,PSF-00495,RHS-0718,2.0.0,2022-05-16T19:34:13.141Z
14,9:13:46,6/2/2022,JSG 2022,MS,,4,North,,0.149317,2.921384,0.142056,1.967013,1.198452,1.151914,2.35219,1.153738,13.536443,14.083327,27.641197,0.441786,PSF-00495_20220602091346,0,0,0,117.120621,434.100494,0.730199,0.5,0.8,25.676178,49.52,47.6,20.5,20.04,85.1,156.7,156.8,-0.1,88,4.077,9:03:47,6/2/2022,0.23,-0.005,-0.003,-9999,0.563,1.114,-9999,1,150,0.005,2,0,rectangular,7000,500,5,2,55537,55537,55537,0,-9999,0,0,0,0,2.499061,2.442377,1.659198,0.935429,0.326592,-0.005123,0.14649,0.181668,117.120621,0.000299,2.419613,-0.000027,1,2.365493,-0.000018,1,0.60179,0.602419,0.107779,0,PSF-00495_20220602091346,PFA-00525,PSA-00537,PSF-00495,RHS-0718,2.0.0,2022-05-16T19:34:13.141Z
15,9:14:50,6/2/2022,JSG 2022,MS,,1,Central,,0.206842,2.921079,0.193164,2.858051,1.169604,1.101942,2.402326,1.232722,12.948674,13.743758,28.229197,0.441786,PSF-00495_20220602091450,0,0,0,102.14782,343.896027,0.702969,0.5,0.8,30.766697,48.62,45.81,20.4,20.38,85.1,156.6,156.9,-0.2,109,4.076,9:14:35,6/2/2022,0.16,0.002,0.003,-9999,0.086,0.175,-9999,1,150,0.005,2,0,rectangular,7000,500,5,2,55537,55537,55537,0,-9999,0,0,0,0,2.496505,2.441288,1.658881,0.935778,0.327866,-0.000314,0.154666,0.199747,102.14782,0.000306,2.419613,-0.000027,1,2.365493,-0.000018,1,0.60179,0.602419,0.107779,0,PSF-00495_20220602091450,PFA-00525,PSA-00537,PSF-00495,RHS-0718,2.0.0,2022-05-16T19:34:13.141Z
16,9:15:19,6/2/2022,JSG 2022,MS,,1,Central,,-0.004376,2.921691,-0.004382,-0.052656,1.057445,1.058693,2.061232,1.003787,12.441231,12.42657,24.222578,0.441786,PSF-00495_20220602091519,0,0,0,108.768936,402.47226,0.729748,0.5,0.8,27.521032,44.12,44.18,20.34,17.92,85.1,156.7,139.5,11,94,4.076,9:14:35,6/2/2022,0.16,-0.001,-0.001,-9999,0.217,0.334,-9999,1,150,0.005,2,0,rectangular,7000,500,5,2,55537,55537,55537,0,-9999,0,0,0,0,2.494154,2.435222,1.659517,0.892636,0.328665,-0.026239,0.158004,0.187026,108.768936,0.000301,2.419613,-0.000027,1,2.365493,-0.000018,1,0.60179,0.602419,0.107779,0,PSF-00495_20220602091519,PFA-00525,PSA-00537,PSF-00495,RHS-0718,2.0.0,2022-05-16T19:34:13.141Z
17,9:15:38,6/2/2022,JSG 2022,MS,,1,Central,,0.248697,2.921804,0.229189,2.577342,1.11205,1.051031,2.051195,0.939145,12.351304,13.068377,24.104836,0.441786,PSF-00495_20220602091538,0,0,0,108.070847,388.14856,0.721573,0.5,0.8,31.003651,46.57,44.02,20.28,17.85,85.09,156.7,156.9,-0.1,107,4.075,9:14:35,6/2/2022,0.16,0.002,0.001,-9999,0.422,0.717,-9999,1,150,0.005,2,0,rectangular,7000,500,5,2,55537,55537,55537,0,-9999,0,0,0,0,2.493936,2.438554,1.659634,0.935824,0.329446,-0.026418,0.160234,0.198066,108.070847,0.000303,2.419613,-0.000027,1,2.365493,-0.000018,1,0.60179,0.602419,0.107779,0,PSF-00495_20220602091538,PFA-00525,PSA-00537,PSF-00495,RHS-0718,2.0.0,2022-05-16T19:34:13.141Z
18,9:16:34,6/2/2022,JSG 2022,MS,,2,Central,,0.220246,2.920422,0.204801,3.766629,1.272638,1.183564,2.799726,1.527089,13.913191,14.960284,32.911724,0.441786,PSF-00495_20220602091634,0,0,0,107.242226,135.116821,0.2063,0.5,0.8,133.578522,53.52,49.78,20.21,22.88,85.07,156.5,157,-0.3,1619,4.074,9:14:35,6/2/2022,0.16,0,0.003,-9999,-1.327,-2.556,-9999,1,150,0.005,2,0,rectangular,7000,500,5,2,55537,55537,55537,0,-9999,0,0,0,0,2.502234,2.447849,1.658199,0.936135,0.330349,0.029668,0.167261,1.468375,107.242226,0.0003,2.419613,-0.000027,1,2.365493,-0.000018,1,0.60179,0.602419,0.107779,0,PSF-00495_20220602091634,PFA-00525,PSA-00537,PSF-00495,RHS-0718,2.0.0,2022-05-16T19:34:13.141Z
19,9:16:58,6/2/2022,JSG 2022,MS,,2,Central,,0.309226,2.921558,0.279629,4.794653,1.281542,1.168255,2.706174,1.424631,13.731297,15.062837,31.807493,0.441786,PSF-00495_20220602091658,0,0,0,124.309662,163.720612,0.240721,0.5,0.8,140.606415,53.8,49.05,20.24,22.32,85.08,156.7,156.8,-0.1,1460,4.074,9:14:35,6/2/2022,0.16,-0.003,-0.002,0.002,-1.522,-3.533,-10.786,1,150,0.005,2,0,rectangular,7000,500,5,2,55537,55537,55537,0,-9999,0,0,0,0,2.501187,2.448214,1.659379,0.93546,0.329974,0.023039,0.170658,1.335171,124.309662,0.000294,2.419613,-0.000027,1,2.365493,-0.000018,1,0.60179,0.602419,0.107779,0,PSF-00495_20220602091658,PFA-00525,PSA-00537,PSF-00495,RHS-0718,2.0.0,2022-05-16T19:34:13.141Z
20,9:17:29,6/2/2022,JSG 2022,MS,,2,Central,,0.32711,2.920937,0.294166,5.114355,1.259112,1.138183,2.703804,1.444693,13.37827,14.799674,31.780676,0.441786,PSF-00495_20220602091729,0,0,0,177.253601,212.699539,0.166648,0.5,0.8,107.521103,52.7,47.64,20.29,22.31,85.08,156.6,157,-0.3,1613,4.072,9:14:35,6/2/2022,0.16,0.006,0.005,-0.003,-1.809,-4.254,-10.964,1,150,0.005,2,0,rectangular,7000,500,5,2,55537,55537,55537,0,-9999,0,0,0,0,2.49916,2.446743,1.658733,0.936104,0.329316,0.022323,0.174827,1.463548,177.253601,0.000287,2.419613,-0.000027,1,2.365493,-0.000018,1,0.60179,0.602419,0.107779,0,PSF-00495_20220602091729,PFA-00525,PSA-00537,PSF-00495,RHS-0718,2.0.0,2022-05-16T19:34:13.141Z
21,9:18:18,6/2/2022,JSG 2022,MS,,3,Central,,0.159147,2.92167,0.150926,2.567334,1.206134,1.145429,2.620717,1.414583,13.464116,14.177677,30.805601,0.441786,PSF-00495_20220602091818,0,0,0,290.195709,358.482971,0.19049,0.5,0.8,104.972023,50.34,47.81,20.34,21.8,85.07,156.7,156.8,-0.1,1378,4.071,9:14:35,6/2/2022,0.16,0.002,0.002,-0.01,-4.082,-3.661,75.091,1,150,0.005,2,0,rectangular,7000,500,5,2,55537,55537,55537,0,-9999,0,0,0,0,2.499393,2.4436,1.659496,0.935595,0.328719,0.016086,0.181226,1.265741,290.195709,0.000292,2.419613,-0.000027,1,2.365493,-0.000018,1,0.60179,0.602419,0.107779,0,PSF-00495_20220602091818,PFA-00525,PSA-00537,PSF-00495,RHS-0718,2.0.0,2022-05-16T19:34:13.141Z
22,9:18:48,6/2/2022,JSG 2022,MS,,3,Central,,0.053701,2.921315,0.052732,1.143364,1.196712,1.169666,2.995862,1.79915,13.749015,14.066924,35.215294,0.441786,PSF-00495_20220602091848,0,0,0,108.778236,155.167572,0.298963,0.5,0.8,172.946259,49.87,48.75,20.36,24,85.07,156.7,157,-0.2,1446,4.071,9:14:35,6/2/2022,0.16,0.001,-0.001,-0.01,-0.717,-2.577,-5.55,1,150,0.005,2,0,rectangular,7000,500,5,2,55537,55537,55537,0,-9999,0,0,0,0,2.500732,2.442973,1.659127,0.936083,0.328404,0.040815,0.185125,1.323365,108.778236,0.000295,2.419613,-0.000027,1,2.365493,-0.000018,1,0.60179,0.602419,0.107779,0,PSF-00495_20220602091848,PFA-00525,PSA-00537,PSF-00495,RHS-0718,2.0.0,2022-05-16T19:34:13.141Z
23,9:19:16,6/2/2022,JSG 2022,MS,,3,Central,,0.069815,2.922768,0.068186,1.49201,1.175936,1.140679,2.991627,1.815692,13.409855,13.824329,35.169655,0.441786,PSF-00495_20220602091916,0,0,0,182.69313,227.189545,0.195856,0.5,0.8,125.821579,48.88,47.41,20.4,23.98,85.06,156.8,156.9,-0.1,1606,4.07,9:14:35,6/2/2022,0.16,-0.001,0,0.008,-1.861,-4.307,-10.475,1,150,0.005,2,0,rectangular,7000,500,5,2,55537,55537,55537,0,-9999,0,0,0,0,2.498814,2.441633,1.660639,0.935868,0.327841,0.040065,0.188659,1.457706,182.69313,0.000291,2.419613,-0.000027,1,2.365493,-0.000018,1,0.60179,0.602419,0.107779,0,PSF-00495_20220602091916,PFA-00525,PSA-00537,PSF-00495,RHS-0718,2.0.0,2022-05-16T19:34:13.141Z
24,9:19:32,6/2/2022,JSG 2022,MS,,3,Central,,0.201688,2.922723,0.188669,3.021126,1.284974,1.21366,2.616106,1.331132,14.265011,15.10321,30.74896,0.441786,PSF-00495_20220602091932,0,0,0,96.115349,176.740768,0.456179,0.5,0.8,270.411682,53.3,50.35,20.44,21.77,85.08,156.8,157,-0.1,1482,4.07,9:14:35,6/2/2022,0.16,0.001,0.004,-9999,-1.462,-2.674,-9999,1,150,0.005,2,0,rectangular,7000,500,5,2,55537,55537,55537,0,-9999,0,0,0,0,2.502994,2.447515,1.660592,0.935966,0.327414,0.014664,0.190542,1.353389,96.115349,0.000291,2.419613,-0.000027,1,2.365493,-0.000018,1,0.60179,0.602419,0.107779,0,PSF-00495_20220602091932,PFA-00525,PSA-00537,PSF-00495,RHS-0718,2.0.0,2022-05-16T19:34:13.141Z
25,9:19:54,6/2/2022,JSG 2022,MS,,4,Central,,0.132201,2.922175,0.126479,1.73697,1.16664,1.125562,2.311224,1.144584,13.228984,13.71179,27.164345,0.441786,PSF-00495_20220602091954,0,0,0,107.107758,406.968719,0.736816,0.5,0.8,24.823116,48.32,46.62,20.46,19.75,85.08,156.8,156.8,0,84,4.069,9:14:35,6/2/2022,0.16,0.001,0.002,-9999,0.311,0.686,-9999,1,150,0.005,2,0,rectangular,7000,500,5,2,55537,55537,55537,0,-9999,0,0,0,0,2.497659,2.440872,1.660021,0.935468,0.327083,-0.007803,0.193218,0.178572,107.107758,0.000296,2.419613,-0.000027,1,2.365493,-0.000018,1,0.60179,0.602419,0.107779,0,PSF-00495_20220602091954,PFA-00525,PSA-00537,PSF-00495,RHS-0718,2.0.0,2022-05-16T19:34:13.141Z
26,9:20:27,6/2/2022,JSG 2022,MS,,4,Central,,0.128377,2.920938,0.122972,1.551806,1.167357,1.130624,2.219613,1.052256,13.289108,13.720864,26.088846,0.441786,PSF-00495_20220602092027,0,0,0,111.424324,379.521484,0.706408,0.5,0.8,26.456762,48.38,46.86,20.45,19.1,85.08,156.6,156.7,-0.1,94,4.069,9:14:35,6/2/2022,0.16,0.001,0.004,-9999,0.244,0.178,-9999,1,150,0.005,2,0,rectangular,7000,500,5,2,55537,55537,55537,0,-9999,0,0,0,0,2.498001,2.440951,1.658735,0.935319,0.327203,-0.01476,0.19719,0.186479,111.424324,0.000303,2.419613,-0.000027,1,2.365493,-0.000018,1,0.60179,0.602419,0.107779,0,PSF-00495_20220602092027,PFA-00525,PSA-00537,PSF-00495,RHS-0718,2.0.0,2022-05-16T19:34:13.141Z
27,9:20:44,6/2/2022,JSG 2022,MS,,4,Central,,0.119725,2.92195,0.115012,1.368653,1.144023,1.111643,2.136913,0.99289,13.066469,13.447067,25.117691,0.441786,PSF-00495_20220602092044,0,0,0,102.607368,371.131897,0.723529,0.5,0.8,26.476475,47.45,46.11,20.44,18.5,85.08,156.7,156.7,0,91,4.066,9:14:35,6/2/2022,0.16,0,0.002,-9999,0.447,0.829,-9999,1,150,0.005,2,0,rectangular,7000,500,5,2,55537,55537,55537,0,-9999,0,0,0,0,2.49693,2.43971,1.659787,0.935241,0.32739,-0.021152,0.199104,0.184674,102.607368,0.000304,2.419613,-0.000027,1,2.365493,-0.000018,1,0.60179,0.602419,0.107779,0,PSF-00495_20220602092044,PFA-00525,PSA-00537,PSF-00495,RHS-0718,2.0.0,2022-05-16T19:34:13.141Z
28,9:24:40,6/2/2022,JSG 2022,MS,,1,South,,0.192477,2.922804,0.180585,2.81248,1.160355,1.093872,2.457233,1.296878,12.8571,13.638522,28.881693,0.441786,PSF-00495_20220602092440,0,0,0,104.821083,404.859772,0.741093,0.5,0.8,25.38785,49.19,46.37,20.09,20.75,85.08,156.8,156.7,0.1,86,4.063,9:23:00,6/2/2022,0.12,-0.001,0.002,-9999,0.08,0.561,-9999,1,150,0.005,2,0,rectangular,7000,500,5,2,55537,55537,55537,0,-9999,0,0,0,0,2.497381,2.442155,1.660677,0.935337,0.332044,0.007207,0.225646,0.179765,104.821083,0.000299,2.419613,-0.000027,1,2.365493,-0.000018,1,0.60179,0.602419,0.107779,0,PSF-00495_20220602092440,PFA-00525,PSA-00537,PSF-00495,RHS-0718,2.0.0,2022-05-16T19:34:13.141Z
